"Tm","W","L","W.L.","PF","PA"
"New England Patriots",11,5,0.688,371,272
"Miami Dolphins",11,5,0.688,344,290
"New York Jets",10,6,0.625,308,295
"Indianapolis Colts",6,10,0.375,413,486
"Buffalo Bills",3,13,0.188,265,420
"Pittsburgh Steelers",13,3,0.813,352,212
"Baltimore Ravens",10,6,0.625,303,265
"Cleveland Browns",7,9,0.438,285,319
"Tennessee Titans",7,9,0.438,336,388
"Jacksonville Jaguars",6,10,0.375,294,286
"Cincinnati Bengals",6,10,0.375,226,309
"Oakland Raiders",10,6,0.625,399,327
"Seattle Seahawks",9,7,0.563,301,324
"Denver Broncos",8,8,0.5,340,339
"Kansas City Chiefs",6,10,0.375,320,344
"San Diego Chargers",5,11,0.313,332,321
"Philadelphia Eagles",11,5,0.688,343,208
"Washington Redskins",8,8,0.5,256,303
"New York Giants",7,9,0.438,294,321
"Arizona Cardinals",7,9,0.438,295,343
"Dallas Cowboys",5,11,0.313,246,338
"Chicago Bears",13,3,0.813,338,203
"Green Bay Packers",12,4,0.75,390,266
"Tampa Bay Buccaneers",9,7,0.563,324,280
"Minnesota Vikings",5,11,0.313,290,390
"Detroit Lions",2,14,0.125,270,424
"St. Louis Rams",14,2,0.875,503,273
"San Francisco 49ers",12,4,0.75,409,282
"New Orleans Saints",7,9,0.438,333,409
"Atlanta Falcons",7,9,0.438,291,377
"Carolina Panthers",1,15,0.063,253,410
