Name,Tm,W,L,ERA,G,GS,IP,H,R,ER,HR,BB,SO
Randy Johnson,ARI,24,5,2.32,35,35,260,197,78,67,26,71,334
Curt Schilling,ARI,23,7,3.23,36,35,259.1,218,95,93,29,33,316
Roy Halladay,TOR,19,7,2.93,34,34,239.1,223,93,78,10,62,168
Mark Buehrle,CHW,19,12,3.58,34,34,239,236,102,95,25,61,134
Tim Hudson,OAK,15,9,2.98,34,34,238.1,237,87,79,19,62,152
Bartolo Colon,TOT,20,8,2.93,33,33,233.1,219,85,76,20,70,149
Roy Oswalt,HOU,19,9,3.01,35,34,233,215,86,78,17,62,208
Jamie Moyer,SEA,13,8,3.32,34,34,230.2,198,89,85,28,50,147
Javier Vazquez,MON,10,13,3.91,34,34,230.1,243,111,100,28,49,179
Barry Zito,OAK,23,5,2.75,35,35,229.1,182,79,70,24,78,182
Paul Byrd,KCR,17,11,3.9,33,33,228.1,224,111,99,36,38,129
Tom Glavine,ATL,18,11,2.96,36,36,224.2,210,85,74,21,78,127
Tanyon Sturtze,TBD,4,18,5.18,33,33,224,271,141,129,33,89,137
Freddy Garcia,SEA,16,10,4.39,34,34,223.2,227,110,109,30,63,181
Odalis Perez,LAD,15,10,3,32,32,222.1,182,76,74,21,38,155
Hideo Nomo,LAD,16,6,3.39,34,34,220.1,189,92,83,26,101,193
Derek Lowe,BOS,21,8,2.58,32,32,219.2,166,65,63,12,48,127
Ramon Ortiz,ANA,15,9,3.77,32,32,217.1,188,97,91,40,68,162
Kevin Millwood,ATL,18,8,3.24,35,34,217,186,83,78,16,65,178
Ben Sheets,MIL,11,16,4.15,34,34,216.2,237,105,100,21,70,170
Liván Hernández,SFG,12,16,4.38,33,33,216,233,113,105,19,71,134
Mike Mussina,NYY,18,10,4.05,33,33,215.2,208,103,97,27,48,182
Russ Ortiz,SFG,14,10,3.61,33,33,214.1,191,89,86,15,94,137
Kerry Wood,CHC,12,11,3.66,33,33,213.2,169,92,87,22,97,217
Kenny Rogers,TEX,13,8,3.84,33,33,210.2,212,101,90,21,70,107
Glendon Rusch,MIL,10,16,4.7,34,34,210.2,227,118,110,30,76,140
Randy Wolf,PHI,11,9,3.2,31,31,210.2,172,77,75,23,63,172
Matt Morris,STL,17,9,3.42,32,32,210.1,210,86,80,16,64,171
Brian Lawrence,SDP,12,12,3.69,35,31,210,230,97,86,16,52,149
CC Sabathia,CLE,13,11,4.37,33,33,210,198,109,102,17,88,149
Ryan Dempster,TOT,10,13,5.38,33,33,209,228,127,125,28,93,153
Jeff Suppan,KCR,9,16,5.32,33,33,208,229,134,123,32,68,109
Mark Mulder,OAK,19,7,3.47,30,30,207.1,182,88,80,21,55,159
David Wells,NYY,19,7,3.75,31,31,206.1,210,100,86,21,45,137
Vicente Padilla,PHI,14,11,3.28,32,32,206,198,83,75,16,53,128
Jarrod Washburn,ANA,18,6,3.15,32,32,206,183,75,72,19,59,139
Matt Clement,CHC,12,11,3.6,32,32,205,162,84,82,18,85,215
A.J. Burnett,FLA,12,9,3.3,31,29,204.1,153,84,75,12,90,203
Al Leiter,NYM,13,13,3.48,33,33,204.1,194,99,79,23,69,172
Brett Tomko,SDP,10,10,4.49,32,32,204.1,212,107,102,31,60,126
Kirk Rueter,SFG,14,8,3.23,33,33,203.2,204,83,73,22,54,76
Mark Redman,DET,8,15,4.21,30,30,203,211,107,95,15,51,109
Jeff Weaver,TOT,11,11,3.52,32,25,199.2,193,88,78,16,48,132
Greg Maddux,ATL,16,6,2.62,34,34,199.1,194,67,58,14,45,118
Pedro Martinez,BOS,20,4,2.26,30,30,199.1,144,62,50,13,40,239
Kip Wells,PIT,12,14,3.58,33,33,198.1,197,92,79,21,71,134
Jimmy Haynes,CIN,15,10,4.12,34,34,196.2,210,97,90,21,81,126
Joe Kennedy,TBD,8,11,4.53,30,30,196.2,204,114,99,23,55,109
Rodrigo Lopez,BAL,15,9,3.57,33,28,196.2,172,83,78,23,62,136
Dan Wright,CHW,14,12,5.18,33,33,196.1,200,124,113,32,71,136
Ismael Valdez,TOT,8,12,4.18,31,31,196,194,94,91,26,47,102
Josh Fogg,PIT,12,12,4.35,33,33,194.1,199,102,94,28,69,113
Joel Pineiro,SEA,14,7,3.24,37,28,194.1,189,75,70,24,54,136
Paul Wilson,TBD,6,12,4.83,30,30,193.2,219,113,104,29,67,111
Jon Garland,CHW,12,12,4.58,33,33,192.2,188,109,98,23,83,112
Tomo Ohka,MON,13,8,3.18,32,31,192.2,194,83,68,19,45,118
Cory Lidle,OAK,8,10,3.89,31,30,192,191,90,83,17,39,111
Pedro Astacio,NYM,12,11,4.79,31,31,191.2,192,106,102,32,63,152
Chuck Finley,TOT,11,15,4.15,32,32,190.2,183,97,88,13,78,174
Steve Sparks,DET,8,16,5.52,32,30,189,238,134,116,23,67,98
Kevin Appier,ANA,14,12,3.92,32,32,188.1,191,89,82,23,64,132
Rick Reed,MIN,15,7,3.78,33,32,188,192,89,79,32,26,121
Jason Jennings,COL,16,8,4.52,32,32,185.1,201,102,93,26,70,127
Jason Schmidt,SFG,13,8,3.45,29,29,185.1,148,78,71,15,73,196
Miguel Batista,ARI,8,9,4.29,36,29,184.2,172,99,88,12,70,112
Andy Ashby,LAD,9,13,3.91,30,30,181.2,179,85,79,20,65,107
John Thomson,TOT,9,14,4.71,30,30,181.2,201,116,95,28,44,107
Kyle Lohse,MIN,13,8,4.23,32,31,180.2,181,92,85,26,70,124
Roger Clemens,NYY,13,6,4.35,29,29,180,172,94,87,18,63,192
Damian Moss,ATL,12,6,3.42,33,29,179,140,80,68,20,89,111
Mike Hampton,COL,7,15,6.15,30,30,178.2,228,135,122,24,91,74
Elmer Dessens,CIN,7,8,3.03,30,30,178,173,70,60,24,49,93
