Name,Tm,W,L,ERA,G,GS,IP,H,R,ER,HR,BB,SO
Kevin Brown,TEX,21,11,3.32,35,35,265.2,262,117,98,11,76,173
Bill Wegman,MIL,13,14,3.2,35,35,261.2,251,104,93,28,55,127
Jack McDowell,CHW,20,10,3.18,34,34,260.2,247,95,92,21,75,178
Charles Nagy,CLE,17,10,2.96,33,33,252,245,91,83,11,57,169
Melido Perez,NYY,13,16,2.87,33,33,247.2,212,94,79,16,93,218
Roger Clemens,BOS,18,11,2.41,32,32,246.2,203,80,66,11,62,208
Jaime Navarro,MIL,17,11,3.33,34,34,246,224,98,91,14,64,100
Mike Mussina,BAL,18,5,2.54,32,32,241,212,70,68,16,48,130
John Smiley,MIN,16,9,3.21,34,34,241,205,93,86,17,65,163
Jack Morris,TOR,21,6,4.04,34,34,240.2,222,114,108,18,80,132
Frank Viola,BOS,13,12,3.44,35,35,238,214,99,91,13,89,121
Rick Sutcliffe,BAL,16,15,4.47,36,36,237.1,251,123,118,20,74,109
Chris Bosio,MIL,16,6,3.62,33,33,231.1,223,100,93,21,44,120
Mark Langston,CAL,13,14,3.66,32,32,229,206,103,93,14,74,174
Dave Fleming,SEA,17,10,3.39,33,33,228.1,225,95,86,13,60,112
Ben McDonald,BAL,13,13,4.24,35,35,227,213,113,107,32,74,158
Jose Guzman,TEX,16,11,3.66,33,33,224,229,103,91,17,73,179
Mike Moore,OAK,17,12,4.12,36,36,223,229,113,102,20,103,117
Bill Gullickson,DET,14,13,4.34,34,34,221.2,228,109,107,35,50,64
Kevin Tapani,MIN,16,11,3.97,34,34,220,226,103,97,17,48,138
Jimmy Key,TOR,13,13,3.53,33,33,216.2,205,88,85,24,59,117
Scott Erickson,MIN,13,12,3.4,32,32,212,197,86,80,18,83,101
Jim Abbott,CAL,7,15,2.77,29,29,211,208,73,65,12,68,130
Randy Johnson,SEA,12,14,3.77,31,31,210.1,154,104,88,13,144,241
Kirk McCaskill,CHW,12,13,4.18,34,34,209,193,116,97,11,95,109
Kevin Appier,KCR,15,8,2.46,30,30,208.1,167,59,57,10,68,150
Ron Darling,OAK,15,10,3.66,33,33,206.1,198,98,84,15,72,99
Chuck Finley,CAL,7,12,3.96,31,31,204.1,212,99,90,24,98,124
Dave Stewart,OAK,12,10,3.66,31,31,199.1,175,96,81,25,79,130
Scott Sanderson,NYY,12,11,4.93,33,33,193.1,220,116,106,28,64,104
Bobby Witt,TOT,10,14,4.29,31,31,193,183,99,92,16,114,125
Scott Kamieniecki,NYY,6,14,4.36,28,28,188,193,100,91,13,74,88
Julio Valera,CAL,8,11,3.73,30,28,188,188,82,78,15,64,113
Alex Fernandez,CHW,8,11,4.27,29,29,187.2,199,100,89,21,50,95
Erik Hanson,SEA,8,17,4.82,31,30,186.2,209,110,100,14,57,112
Frank Tanana,DET,13,11,4.39,32,31,186.2,188,102,91,22,90,91
Juan Guzman,TOR,16,5,2.64,28,28,180.2,135,56,53,6,72,165
Charlie Hough,CHW,7,12,3.93,27,27,176.1,160,88,77,19,66,76
Greg Hibbard,CHW,10,7,4.4,31,28,176,187,92,86,17,57,69
Todd Stottlemyre,TOR,12,11,4.5,28,27,174,175,99,87,20,63,98
Jack Armstrong,CLE,6,15,4.64,35,23,166.2,176,100,86,23,67,114
Ricky Bones,MIL,9,10,4.57,31,28,163.1,169,90,83,27,48,65
Danny Darwin,BOS,9,9,3.96,51,15,161.1,159,76,71,11,53,124
Bill Krueger,MIN,10,6,4.3,27,27,161.1,166,82,77,18,46,86
Jose Mesa,TOT,7,12,4.59,28,27,160.2,169,86,82,14,70,62
Dennis Cook,CLE,5,7,3.82,32,25,158,156,79,67,29,50,96
Nolan Ryan,TEX,5,9,3.72,27,27,157.1,138,75,65,9,69,157
Joe Hesketh,BOS,8,9,4.36,30,25,148.2,162,84,72,15,58,104
Hipolito Pichardo,KCR,9,6,3.95,31,24,143.2,148,71,63,9,49,59
John Dopson,BOS,7,11,4.08,25,25,141.1,159,78,64,17,38,55
Tim Leary,TOT,8,10,5.36,26,23,141,131,89,84,12,87,46
Walt Terrell,DET,7,10,5.2,36,14,136.2,163,86,79,14,48,61
Bert Blyleven,CAL,8,12,4.74,25,24,133,150,76,70,17,29,70
Mike Gardiner,BOS,4,10,4.75,28,18,130.2,126,78,69,12,58,79
Bob Welch,OAK,11,7,3.27,20,20,123.2,114,47,45,13,43,47
David Wells,TOR,7,9,5.4,41,14,120,138,84,72,16,36,62
Tom Gordon,KCR,6,10,4.59,40,11,117.2,116,67,60,9,55,98
John Doherty,DET,7,4,3.88,47,11,116,131,61,50,4,25,37
Bob Milacki,BAL,6,8,5.84,23,20,115.2,140,78,75,16,44,51
Mark Leiter,DET,8,5,4.18,35,14,112,116,57,52,9,43,75
Mark Gubicza,KCR,7,6,3.72,18,18,111.1,110,47,46,8,36,81
Scott Scudder,CLE,6,10,5.28,23,22,109,134,80,64,10,55,66
Greg Harris,BOS,4,9,2.51,70,2,107.2,82,38,30,6,60,73
Todd Frohwirth,BAL,4,3,2.46,65,0,106,97,33,29,4,41,58
Rod Nichols,CLE,4,3,4.53,30,9,105.1,114,58,53,13,31,56
Russ Swan,SEA,3,10,4.74,55,9,104.1,104,60,55,8,45,45
Greg Cadaret,NYY,4,8,4.25,46,11,103.2,104,53,49,12,74,73
Alan Mills,BAL,10,4,2.61,35,3,103.1,78,33,30,5,54,60
Todd Burns,TEX,3,5,3.84,35,10,103,97,54,44,8,32,55
Rusty Meacham,KCR,10,4,2.74,64,0,101.2,88,39,31,5,21,64
Duane Ward,TOR,7,4,1.95,79,0,101.1,76,27,22,5,39,103
Wilson Alvarez,CHW,5,3,5.2,34,9,100.1,103,64,58,12,65,66
Cal Eldred,MIL,11,2,1.79,14,14,100.1,76,21,20,4,23,62
Rick Reed,KCR,3,7,3.68,19,18,100.1,105,47,41,10,20,49
Ted Power,CLE,3,3,2.54,64,0,99.1,88,33,28,7,35,51
Jeff Parrett,OAK,9,1,3.02,66,0,98.1,81,35,33,7,42,78
Dave Stieb,TOR,4,6,5.04,21,14,96.1,98,58,54,9,43,45
Joe Grahe,CAL,5,6,3.52,46,7,94.2,85,37,37,5,39,39
Arthur Rhodes,BAL,7,5,3.63,15,15,94.1,87,39,38,6,38,77
Rich Monteleone,NYY,7,3,3.3,47,0,92.2,82,35,34,7,27,62
Brian Fisher,SEA,4,3,4.53,22,14,91.1,80,49,46,9,47,26
Storm Davis,BAL,7,3,3.43,48,2,89.1,79,35,34,5,36,53
