Player,Age,Games,Starts,Tgt,Receiving,RecYrds,Yrds/Rec,RecTD,Rec1D,RecLg,Rec/G,RecY/G,Ctch%,Att,Yds,TD,1D,Lng,Yrds/Att,Yards/G,Att/G,Fmb
DeMarco Murray 2014,26,16,16,64,57,416,7.3,0,17,34,3.6,26,0.891,392,1845,13,89,51,4.7,115.3,24.5,6
Le'Veon Bell 2014,22,16,16,105,83,854,10.3,3,41,48,5.2,53.4,0.79,290,1361,8,75,81,4.7,85.1,18.1,0
Matt Forte 2014,29,16,16,130,102,808,7.9,4,28,56,6.4,50.5,0.785,266,1038,6,65,32,3.9,64.9,16.6,2
Marshawn Lynch 2014,28,16,14,48,37,367,9.9,4,16,39,2.3,22.9,0.771,280,1306,13,67,79,4.7,81.6,17.5,4
Arian Foster 2014,28,13,13,59,38,327,8.6,5,15,56,2.9,25.2,0.644,260,1246,8,55,51,4.8,95.8,20,2
Eddie Lacy 2014,24,16,16,55,42,427,10.2,4,18,67,2.6,26.7,0.764,246,1139,9,60,44,4.6,71.2,15.4,3
Justin Forsett 2014,29,16,14,59,44,263,6,0,10,26,2.8,16.4,0.746,235,1266,8,57,52,5.4,79.1,14.7,2
LeSean McCoy 2014,26,16,16,37,28,155,5.5,0,10,18,1.8,9.7,0.757,312,1319,5,68,53,4.2,82.4,19.5,4
Lamar Miller 2014,23,16,16,52,38,275,7.2,1,10,20,2.4,17.2,0.731,216,1099,8,57,97,5.1,68.7,13.5,3
Jeremy Hill 2014,22,16,8,32,27,215,8,0,7,38,1.7,13.4,0.844,222,1124,9,61,85,5.1,70.3,13.9,5
Jamaal Charles 2014,28,15,15,59,40,291,7.3,5,16,30,2.7,19.4,0.678,206,1033,9,51,63,5,68.9,13.7,5
Alfred Morris 2014,26,16,16,26,17,155,9.1,0,8,26,1.1,9.7,0.654,265,1074,8,53,30,4.1,67.1,16.6,2
Frank Gore 2014,31,16,16,19,11,111,10.1,1,2,55,0.7,6.9,0.579,255,1106,4,55,52,4.3,69.1,15.9,2
Joique Bell 2014,28,15,6,53,34,322,9.5,1,14,28,2.3,21.5,0.642,223,860,7,45,57,3.9,57.3,14.9,5
C.J. Anderson 2014,23,15,7,44,34,324,9.5,2,14,51,2.3,21.6,0.773,179,849,8,47,27,4.7,56.6,11.9,1
Mark Ingram 2014,25,13,9,36,29,145,5,0,5,14,2.2,11.2,0.806,226,964,9,52,31,4.3,74.2,17.4,3
Andre Ellington 2014,25,12,12,64,46,395,8.6,2,19,81,3.8,32.9,0.719,201,660,3,31,22,3.3,55,16.8,2
Giovani Bernard 2014,23,13,9,59,43,349,8.1,2,14,46,3.3,26.8,0.729,168,680,5,32,89,4,52.3,12.9,0
Fred Jackson 2014,33,14,9,90,66,501,7.6,1,26,34,4.7,35.8,0.733,141,525,2,24,38,3.7,37.5,10.1,5
Jonathan Stewart 2014,27,13,8,31,25,181,7.2,1,7,22,1.9,13.9,0.806,175,809,3,42,69,4.6,62.2,13.5,3
Chris Ivory 2014,26,16,10,27,18,123,6.8,1,4,23,1.1,7.7,0.667,198,821,6,43,71,4.1,51.3,12.4,2
Tre Mason 2014,21,12,9,26,16,148,9.3,1,8,35,1.3,12.3,0.615,179,765,4,38,89,4.3,63.8,14.9,2
Matt Asiata 2014,27,15,9,63,44,312,7.1,1,7,41,2.9,20.8,0.698,164,570,9,34,19,3.5,38,10.9,1
Rashad Jennings 2014,29,11,9,41,30,226,7.5,0,8,27,2.7,20.5,0.732,167,639,4,39,18,3.8,58.1,15.2,1
Steven Jackson 2014,31,15,15,27,20,148,7.4,0,6,17,1.3,9.9,0.741,190,707,6,38,55,3.7,47.1,12.7,0
Branden Oliver 2014,23,14,7,45,36,271,7.5,1,11,50,2.6,19.4,0.8,160,582,3,31,52,3.6,41.6,11.4,0
Andre Williams 2014,22,16,7,37,18,130,7.2,0,6,24,1.1,8.1,0.486,217,721,7,32,50,3.3,45.1,13.6,1
Shane Vereen 2014,25,16,6,77,52,447,8.6,3,24,49,3.3,27.9,0.675,96,391,2,15,19,4.1,24.4,6,0
Chris Johnson 2014,29,16,6,34,24,151,6.3,1,9,26,1.5,9.4,0.706,155,663,1,22,47,4.3,41.4,9.7,1
Trent Richardson 2014,24,15,12,34,27,229,8.5,0,9,24,1.8,15.3,0.794,159,519,3,27,27,3.3,34.6,10.6,2
Darren McFadden 2014,27,16,12,56,36,212,5.9,0,8,23,2.3,13.3,0.643,155,534,2,21,25,3.4,33.4,9.7,1
Terrance West 2014,23,14,6,13,11,64,5.8,1,3,11,0.8,4.6,0.846,171,673,4,31,36,3.9,48.1,12.2,2
Bobby Rainey 2014,27,15,5,45,33,315,9.5,1,13,34,2.2,21,0.733,94,406,1,21,31,4.3,27.1,6.3,3
Denard Robinson 2014,24,13,9,31,23,124,5.4,0,7,19,1.8,9.5,0.742,135,582,4,24,41,4.3,44.8,10.4,2
Bishop Sankey 2014,22,16,9,23,18,133,7.4,0,5,18,1.1,8.3,0.783,152,569,2,26,22,3.7,35.6,9.5,2
Jerick McKinnon 2014,22,11,6,41,27,135,5,0,7,17,2.5,12.3,0.659,113,538,0,24,55,4.8,48.9,10.3,0
Alfred Blue 2014,23,16,3,18,15,113,7.5,1,7,22,0.9,7.1,0.833,169,528,2,29,46,3.1,33,10.6,0
Doug Martin 2014,25,11,11,20,13,64,4.9,0,3,20,1.2,5.8,0.65,134,494,2,24,63,3.7,44.9,12.2,0
Reggie Bush 2014,29,11,9,56,40,253,6.3,0,13,28,3.6,23,0.714,76,297,2,9,26,3.9,27,6.9,1
Toby Gerhart 2014,27,14,7,24,20,186,9.3,0,10,26,1.4,13.3,0.833,101,326,2,23,23,3.2,23.3,7.2,1
Zac Stacy 2014,23,13,5,23,18,152,8.4,0,9,17,1.4,11.7,0.783,76,293,1,13,16,3.9,22.5,5.8,2
C.J. Spiller 2014,27,9,5,22,19,125,6.6,1,7,25,2.1,13.9,0.864,78,300,0,12,53,3.8,33.3,8.7,3
Shonn Greene 2014,29,13,5,3,1,13,13,0,1,13,0.1,1,0.333,94,392,2,18,52,4.2,30.2,7.2,1
Ryan Mathews 2014,27,6,6,10,9,69,7.7,0,4,16,1.5,11.5,0.9,74,330,3,19,32,4.5,55,12.3,1
Stevan Ridley 2014,25,6,5,5,4,20,5,0,0,7,0.7,3.3,0.8,94,340,2,17,43,3.6,56.7,15.7,0
John Carlson 2014,30,16,12,55,33,350,10.6,1,17,32,2.1,21.9,0.6,,,,0,,,,,0
Marcel Reece 2014,29,15,15,59,37,265,7.2,1,12,19,2.5,17.7,0.627,21,85,0,5,11,4,5.7,1.4,1
DeAngelo Williams 2014,31,6,6,6,5,44,8.8,0,2,30,0.8,7.3,0.833,62,219,0,7,17,3.5,36.5,10.3,1
Bruce Miller 2014,27,16,8,25,18,189,10.5,2,11,22,1.1,11.8,0.72,6,9,0,2,4,1.5,0.6,0.4,1
Kyle Juszczyk 2014,23,16,14,27,19,182,9.6,1,6,33,1.2,11.4,0.704,,,,0,,,,,3
Mike Tolbert 2014,29,8,6,17,12,93,7.8,0,4,18,1.5,11.6,0.706,37,78,0,5,15,2.1,9.8,4.6,0
Darrel Young 2014,27,16,10,14,11,81,7.4,2,6,20,0.7,5.1,0.786,9,22,3,6,14,2.4,1.4,0.6,0
Anthony Sherman 2014,26,16,6,14,10,71,7.1,1,4,24,0.6,4.4,0.714,2,8,0,1,4,4,0.5,0.1,0
Patrick DiMarco 2014,25,16,7,14,9,62,6.9,1,4,16,0.6,3.9,0.643,,,,0,,,,,0
Cory Harkey 2014,24,16,13,11,8,55,6.9,1,5,21,0.5,3.4,0.727,,,,0,,,,,0
Will Johnson 2014,25,16,5,9,6,41,6.8,0,3,18,0.4,2.6,0.667,2,0,0,0,0,0,0,0.1,0
Luke Stocker 2014,26,13,7,11,7,41,5.9,0,2,11,0.5,3.2,0.636,,,,0,,,,,0
Erik Lorig 2014,28,10,6,10,9,27,3,1,2,14,0.9,2.7,0.9,3,4,0,0,4,1.3,0.4,0.3,1
Frank Summers 2014,29,10,6,8,5,9,1.8,0,0,4,0.5,0.9,0.625,6,17,1,4,4,2.8,1.7,0.6,0
Jay Prosch 2014,22,16,5,4,1,24,24,0,1,24,0.1,1.5,0.25,,,,0,,,,,0
Ray Agnew 2014,23,12,9,9,3,15,5,0,1,12,0.3,1.3,0.333,2,2,0,1,2,1,0.2,0.2,0
