"Tm","W","L","W.L.","R","RA","Lg"
"HOU",93,69,0.574,5.2,4.7,"NL"
"STL",93,69,0.574,5,4.2,"NL"
"ARI",92,70,0.568,5,4.2,"NL"
"SFG",90,72,0.556,4.9,4.6,"NL"
"ATL",88,74,0.543,4.5,4,"NL"
"CHC",88,74,0.543,4.8,4.3,"NL"
"PHI",86,76,0.531,4.6,4.4,"NL"
"LAD",86,76,0.531,4.7,4.6,"NL"
"NYM",82,80,0.506,4,4.4,"NL"
"SDP",79,83,0.488,4.9,5,"NL"
"FLA",76,86,0.469,4.6,4.6,"NL"
"COL",73,89,0.451,5.7,5.6,"NL"
"MIL",68,94,0.42,4.6,5,"NL"
"MON",68,94,0.42,4.1,5,"NL"
"CIN",66,96,0.407,4.5,5.2,"NL"
"PIT",62,100,0.383,4.1,5.3,"NL"
"SEA",116,46,0.716,5.7,3.9,"AL"
"OAK",102,60,0.63,5.5,4,"AL"
"NYY",95,65,0.594,5,4.4,"AL"
"CLE",91,71,0.562,5.5,5.1,"AL"
"MIN",85,77,0.525,4.8,4.7,"AL"
"CHW",83,79,0.512,4.9,4.9,"AL"
"BOS",82,79,0.509,4.8,4.6,"AL"
"TOR",80,82,0.494,4.7,4.6,"AL"
"ANA",75,87,0.463,4.3,4.5,"AL"
"TEX",73,89,0.451,5.5,6,"AL"
"DET",66,96,0.407,4.5,5.4,"AL"
"KCR",65,97,0.401,4.5,5.3,"AL"
"BAL",63,98,0.391,4.2,5.1,"AL"
"TBD",62,100,0.383,4.1,5.5,"AL"
