tournament,match_date,series,best_of,winner,loser,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,winner_mw,loser_mw,winner_gw,loser_gw
Brisbane International,2012-12-31,ATP250,3,Mayer F.,Giraldo S.,6,4,6,4,0,0,0,0,0,0,2,0,12,8
Brisbane International,2012-12-31,ATP250,3,Nieminen J.,Benneteau J.,6,3,2,6,6,1,0,0,0,0,2,1,14,10
Brisbane International,2012-12-31,ATP250,3,Nishikori K.,Matosevic M.,7,5,6,2,0,0,0,0,0,0,2,0,13,7
Brisbane International,2012-12-31,ATP250,3,Baghdatis M.,Mitchell B.,6,4,6,4,0,0,0,0,0,0,2,0,12,8
Brisbane International,2013-01-01,ATP250,3,Istomin D.,Klizan M.,6,1,6,2,0,0,0,0,0,0,2,0,12,3
Brisbane International,2013-01-01,ATP250,3,Millman J.,Ito T.,6,4,6,1,0,0,0,0,0,0,2,0,12,5
Brisbane International,2013-01-01,ATP250,3,Falla A.,Levine J.,6,1,7,6,0,0,0,0,0,0,2,0,13,7
Brisbane International,2013-01-01,ATP250,3,Melzer J.,Kudla D.,2,6,6,4,6,4,0,0,0,0,2,1,14,14
Brisbane International,2013-01-01,ATP250,3,Robredo T.,Harrison R.,6,4,7,6,0,0,0,0,0,0,2,0,13,10
Brisbane International,2013-01-01,ATP250,3,Dimitrov G.,Baker B.,6,3,7,6,0,0,0,0,0,0,2,0,13,9
Brisbane International,2013-01-01,ATP250,3,Goffin D.,Ebden M.,6,2,6,2,0,0,0,0,0,0,2,0,12,4
Brisbane International,2013-01-01,ATP250,3,Hewitt L.,Kunitsyn I.,6,3,4,6,6,2,0,0,0,0,2,1,16,11
Brisbane International,2013-01-02,ATP250,3,Simon G.,Falla A.,7,6,7,6,0,0,0,0,0,0,2,0,14,12
Brisbane International,2013-01-02,ATP250,3,Baghdatis M.,Mayer F.,6,4,6,2,0,0,0,0,0,0,2,0,12,6
Brisbane International,2013-01-02,ATP250,3,Nishikori K.,Robredo T.,6,3,6,3,0,0,0,0,0,0,2,0,12,6
Brisbane International,2013-01-02,ATP250,3,Dolgopolov O.,Nieminen J.,6,2,4,1,0,0,0,0,0,0,2,0,10,3
Brisbane International,2013-01-03,ATP250,3,Dimitrov G.,Raonic M.,6,3,6,4,0,0,0,0,0,0,2,0,12,7
Brisbane International,2013-01-03,ATP250,3,Melzer J.,Goffin D.,6,4,7,6,0,0,0,0,0,0,2,0,13,10
Brisbane International,2013-01-03,ATP250,3,Istomin D.,Hewitt L.,7,5,7,5,0,0,0,0,0,0,2,0,14,10
Brisbane International,2013-01-03,ATP250,3,Murray A.,Millman J.,6,1,5,7,6,3,0,0,0,0,2,1,17,11
Brisbane International,2013-01-04,ATP250,3,Baghdatis M.,Simon G.,6,3,6,4,0,0,0,0,0,0,2,0,12,7
Brisbane International,2013-01-04,ATP250,3,Nishikori K.,Dolgopolov O.,6,4,7,6,0,0,0,0,0,0,2,0,13,10
Brisbane International,2013-01-04,ATP250,3,Dimitrov G.,Melzer J.,6,3,6,2,0,0,0,0,0,0,2,0,12,5
Brisbane International,2013-01-04,ATP250,3,Murray A.,Istomin D.,6,4,7,6,0,0,0,0,0,0,2,0,13,10
Brisbane International,2013-01-05,ATP250,3,Dimitrov G.,Baghdatis M.,6,3,5,7,7,6,0,0,0,0,2,1,18,16
Brisbane International,2013-01-05,ATP250,3,Murray A.,Nishikori K.,6,4,2,0,0,0,0,0,0,0,2,0,8,4
Brisbane International,2013-01-06,ATP250,3,Murray A.,Dimitrov G.,7,6,6,4,0,0,0,0,0,0,2,0,13,10
Chennai Open,2012-12-31,ATP250,3,Soeda G.,Donskoy E.,6,1,6,2,0,0,0,0,0,0,2,0,12,3
Chennai Open,2012-12-31,ATP250,3,Bedene A.,Sousa J.,6,3,6,2,0,0,0,0,0,0,2,0,12,5
Chennai Open,2012-12-31,ATP250,3,Haase R.,Bhambri Y.,7,5,6,3,0,0,0,0,0,0,2,0,13,8
Chennai Open,2012-12-31,ATP250,3,Roger-Vasselin E.,Kuznetsov An.,6,3,6,4,0,0,0,0,0,0,2,0,12,7
