"Squad","W","D","L","GF","GA","Pts"
"Manchester Utd",24,8,6,79,31,80
"Arsenal",20,10,8,63,38,70
"Liverpool",20,9,9,71,39,69
"Leeds United",20,8,10,64,43,68
"Ipswich Town",20,6,12,57,42,66
"Chelsea",17,10,11,68,45,61
"Sunderland",15,12,11,46,41,57
"Aston Villa",13,15,10,46,43,54
"Charlton Ath",14,10,14,50,57,52
"Southampton",14,10,14,40,48,52
"Newcastle Utd",14,9,15,44,50,51
"Tottenham",13,10,15,47,54,49
"Leicester City",14,6,18,39,51,48
"Middlesbrough",9,15,14,44,44,42
"West Ham",10,12,16,45,50,42
"Everton",11,9,18,45,59,42
"Derby County",10,12,16,37,59,42
"Manchester City",8,10,20,41,65,34
"Coventry City",8,10,20,36,63,34
"Bradford City",5,11,22,30,70,26
