Team,Arsenal,Aston Villa,Bournemouth,Chelsea,Crystal Palace,Everton,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur,Watford,West Bromwich Albion,West Ham United
Arsenal,0,0,0,2,0.5,0,0,1,0.5,1,0,0.5,1.5,0.5,0.5,1,1,0,1,1.5
Aston Villa,2,0,1,2,1,2,1.5,2,1.5,2,1,1,1.5,2,1.5,2,2,2,1.5,1.5
Bournemouth,2,1,0,1,0.5,1.5,1,2,2,1,1,1,1,2,0.5,0.5,2,1,0.5,1
Chelsea,0,0,1,0,1,1.5,1.5,1.5,2,1,0.5,0,1,1.5,1,1.5,1,1,0.5,1.5
Crystal Palace,1.5,1,1.5,1,0,1,2,1,2,1.5,1,0,1,0,1.5,1,2,1,1,1.5
Everton,2,0,0.5,0.5,1,0,2,1.5,1.5,2,0,0.5,0.5,1,1,1.5,1,1,1,1.5
Leicester City,2,0.5,1,0.5,0,0,0,1,0.5,1,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5
Liverpool,1,0,0,0.5,1,0.5,1,0,0,2,1.5,0.5,1.5,0,0.5,1,1,1,1,2
Manchester City,1.5,0.5,0,0,0,0.5,1.5,2,0,1.5,0.5,0.5,1,1,0,0.5,2,0,0,1.5
Manchester United,1,0,1,1,0.5,0,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1.5
Newcastle United,2,1,1,1.5,1,2,2,0.5,1.5,1,0,1,1.5,1.5,1.5,1,0,2,1,1
Norwich City,1.5,1,1,2,2,1.5,2,1.5,1.5,1,1,0,1,1.5,1,1,2,1,1,1
Southampton,0.5,0.5,1,1,1,1.5,1.5,0.5,1,1,0.5,1,0,1,0.5,0,1,0.5,0.5,1
Stoke City,1.5,0,0,0.5,2,1,1.5,2,1,1,0.5,0.5,1,0,1.5,0.5,1.5,1,2,0.5
Sunderland,1.5,0.5,1.5,1,0.5,1,2,1.5,2,1,0.5,1,1.5,0.5,0,0.5,2,1.5,1.5,1.5
Swansea City,1,0,1.5,0.5,1,0.5,2,1,1.5,1,1,1,2,1.5,1.5,0,1.5,1,0.5,0.5
Tottenham Hotspur,1,0,0,1,0,1,1.5,1,0,1,2,0,1,0.5,0,0.5,0,0,1,1
Watford,2,0,1,1,1,1,2,1,2,2,0,1,1.5,1,0.5,1,2,0,0.5,1
West Bromwich Albion,1,0.5,1.5,1.5,1,1,1.5,1,2,1,1,1,1.5,0,0.5,1.5,1,1.5,0,1.5
West Ham United,0.5,0.5,1,0.5,0.5,0.5,1.5,0,0.5,0.5,1,1,1,1.5,0.5,1.5,1,1,0.5,0
