season,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2011,1.0,Kevin Durant,22.0,OKC,SF,78.0,78.0,3038.0,711.0,1538.0,0.462,145.0,414.0,0.35,566.0,1124.0,0.504,0.509,594.0,675.0,0.88,57.0,476.0,533.0,214.0,88.0,76.0,218.0,159.0,2161.0,0.0,"MVP-5,AS,NBA1"
2011,2.0,LeBron James,26.0,MIA,SF,79.0,79.0,3063.0,758.0,1485.0,0.51,92.0,279.0,0.33,666.0,1206.0,0.552,0.541,503.0,663.0,0.759,80.0,510.0,590.0,554.0,124.0,50.0,284.0,163.0,2111.0,4.0,"MVP-3,DPOY-9,AS,NBA1,DEF1"
2011,3.0,Kobe Bryant,32.0,LAL,SG,82.0,82.0,2779.0,740.0,1639.0,0.451,115.0,356.0,0.323,625.0,1283.0,0.487,0.487,483.0,583.0,0.828,83.0,336.0,419.0,388.0,99.0,12.0,243.0,172.0,2078.0,1.0,"MVP-4,DPOY-11,AS,NBA1,DEF1"
2011,4.0,Derrick Rose,22.0,CHI,PG,81.0,81.0,3026.0,711.0,1597.0,0.445,128.0,385.0,0.332,583.0,1212.0,0.481,0.485,476.0,555.0,0.858,81.0,249.0,330.0,623.0,85.0,51.0,278.0,136.0,2026.0,1.0,"MVP-1,AS,NBA1"
2011,5.0,Amar'e Stoudemire,28.0,NYK,C,78.0,78.0,2870.0,744.0,1482.0,0.502,10.0,23.0,0.435,734.0,1459.0,0.503,0.505,473.0,597.0,0.792,198.0,438.0,636.0,202.0,71.0,150.0,250.0,274.0,1971.0,0.0,"MVP-9,AS,NBA2"
2011,6.0,Carmelo Anthony,26.0,2TM,SF,77.0,77.0,2751.0,684.0,1503.0,0.455,95.0,251.0,0.378,589.0,1252.0,0.47,0.487,507.0,605.0,0.838,118.0,445.0,563.0,221.0,68.0,46.0,206.0,224.0,1970.0,0.0,AS
2011,6.0,Carmelo Anthony,26.0,DEN,SF,50.0,50.0,1774.0,437.0,967.0,0.452,42.0,126.0,0.333,395.0,841.0,0.47,0.474,343.0,417.0,0.823,77.0,305.0,382.0,140.0,43.0,31.0,142.0,134.0,1259.0,0.0,
2011,6.0,Carmelo Anthony,26.0,NYK,SF,27.0,27.0,977.0,247.0,536.0,0.461,53.0,125.0,0.424,194.0,411.0,0.472,0.51,164.0,188.0,0.872,41.0,140.0,181.0,81.0,25.0,15.0,64.0,90.0,711.0,0.0,
2011,7.0,Dwyane Wade,29.0,MIA,SG,76.0,76.0,2823.0,692.0,1384.0,0.5,63.0,206.0,0.306,629.0,1178.0,0.534,0.523,494.0,652.0,0.758,123.0,362.0,485.0,346.0,111.0,87.0,237.0,197.0,1941.0,1.0,"MVP-7,DPOY-16,AS,NBA2"
2011,8.0,Monta Ellis,25.0,GSW,SG,80.0,80.0,3227.0,726.0,1611.0,0.451,137.0,379.0,0.361,589.0,1232.0,0.478,0.493,340.0,431.0,0.789,44.0,237.0,281.0,450.0,168.0,23.0,252.0,203.0,1929.0,0.0,
2011,9.0,Kevin Martin,27.0,HOU,SG,80.0,80.0,2603.0,553.0,1267.0,0.436,176.0,459.0,0.383,377.0,808.0,0.467,0.506,594.0,669.0,0.888,28.0,230.0,258.0,198.0,80.0,15.0,184.0,155.0,1876.0,0.0,
2011,10.0,Blake Griffin,21.0,LAC,PF,82.0,82.0,3112.0,696.0,1376.0,0.506,7.0,24.0,0.292,689.0,1352.0,0.51,0.508,446.0,695.0,0.642,270.0,719.0,989.0,312.0,63.0,45.0,223.0,252.0,1845.0,2.0,"MVP-10,ROY-1,AS"
2011,11.0,Russell Westbrook,22.0,OKC,PG,82.0,82.0,2847.0,614.0,1390.0,0.442,34.0,103.0,0.33,580.0,1287.0,0.451,0.454,531.0,631.0,0.842,121.0,258.0,379.0,670.0,155.0,30.0,316.0,207.0,1793.0,3.0,"AS,NBA2"
2011,12.0,Dwight Howard,25.0,ORL,C,78.0,78.0,2935.0,619.0,1044.0,0.593,0.0,7.0,0.0,619.0,1037.0,0.597,0.593,546.0,916.0,0.596,309.0,789.0,1098.0,107.0,107.0,186.0,279.0,258.0,1784.0,0.0,"MVP-2,DPOY-1,AS,NBA1,DEF1"
2011,13.0,LaMarcus Aldridge,25.0,POR,PF,81.0,81.0,3211.0,707.0,1415.0,0.5,4.0,23.0,0.174,703.0,1392.0,0.505,0.501,351.0,444.0,0.791,278.0,431.0,709.0,170.0,82.0,94.0,153.0,220.0,1769.0,0.0,NBA3
2011,14.0,Dirk Nowitzki,32.0,DAL,PF,73.0,73.0,2504.0,610.0,1179.0,0.517,66.0,168.0,0.393,544.0,1011.0,0.538,0.545,395.0,443.0,0.892,50.0,463.0,513.0,190.0,38.0,47.0,137.0,172.0,1681.0,0.0,"MVP-6,AS,NBA2"
2011,15.0,Brook Lopez,22.0,NJN,C,82.0,82.0,2889.0,644.0,1309.0,0.492,0.0,1.0,0.0,644.0,1308.0,0.492,0.492,385.0,489.0,0.787,197.0,291.0,488.0,129.0,47.0,120.0,176.0,240.0,1673.0,0.0,
2011,16.0,Danny Granger,27.0,IND,SF,79.0,79.0,2763.0,535.0,1260.0,0.425,157.0,407.0,0.386,378.0,853.0,0.443,0.487,395.0,466.0,0.848,87.0,338.0,425.0,203.0,89.0,62.0,206.0,213.0,1622.0,0.0,
