"","Name","Tm","W","L","ERA","IP","VORP"
"8","Mike Mussina","BAL",18,5,2.54,241,69.2001331431289
"6","Roger Clemens","BOS",18,11,2.41,246.2,62.2036214931051
"26","Kevin Appier","KCR",15,8,2.46,208.1,61.1972933903947
"3","Jack McDowell","CHW",20,10,3.18,260.2,55.2899362815026
"4","Charles Nagy","CLE",17,10,2.96,252,54.5536661911555
"95","Dave Otto","CLE",5,9,7.06,80.1,-17.734727532097
"62","Scott Scudder","CLE",6,10,5.28,109,-17.0422634331907
"88","Les Lancaster","DET",3,4,6.33,86.2,-16.2114046600095
"56","David Wells","TOR",7,9,5.4,120,-14.6887303851641
"176","Mike Flanagan","BAL",0,0,8.05,34.2,-14.2462881597718
